Date : 2024-11-02 08:54:57
Directory : e:\fosi_stuff\E30\proj_by_RTOS
Total : 134 files,  62499 codes, 39044 comments, 17150 blanks, all 118693 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM_CM4_MPU\portmacro.h  | C++                |        181 |        173 |         60 |        414 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM_CM7\r0p1\port.c      | C                  |        356 |        311 |        129 |        796 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM_CM7\r0p1\portmacro.h | C++                |        136 |         85 |         45 |        266 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\scr\croutine.c                         | C                  |        184 |        119 |         59 |        362 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\scr\event_groups.c                     | C                  |        476 |        180 |        116 |        772 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\scr\list.c                             | C                  |         77 |        100 |         34 |        211 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\scr\queue.c                            | C                  |      1,972 |        645 |        397 |      3,014 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\scr\stream_buffer.c                    | C                  |        861 |        284 |        182 |      1,327 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\scr\tasks.c                            | C                  |      3,254 |      1,342 |        784 |      5,380 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\scr\timers.c                           | C                  |        700 |        278 |        167 |      1,145 |
| e:\fosi_stuff\E30\proj_by_RTOS\proj_by_RTOS.code-workspace                     | JSON with Comments |         14 |          0 |          0 |         14 |
| Total                                                                          |                    |     62,499 |     39,044 |     17,150 |    118,693 |
+--------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
